District,Year,Crop_Land,Fallow,Plantation,Barren_Rocky,Scrub_Land,Forest_Deciduous,Forest_Evergreen,Urban_Area,Water_Bodies,Rural_Area,Mining,Forest_Scrub
Sangli,2015,4979.63,1860.63,0.53,212.59,762.22,112.12,73.61,95.13,0.00,84.52,2.30,174.82
Satara,2005,5487.63,1234.49,0.00,39.22,1434.33,633.86,752.66,44.66,275.47,138.13,1.62,271.95
Satara,2011,569.41,668.28,600.28,124.45,683.81,1399.11,295.32,18.05,34.29,193.61,19.84,0.57
Satara,2015,4755.85,1783.30,1.46,57.39,1463.71,659.17,805.76,80.10,0.00,185.28,4.51,240.90
Sindhudurg,2005,744.18,606.91,424.29,126.05,614.44,1217.71,665.60,15.84,21.10,127.29,11.64,3.47
Sindhudurg,2011,12341.44,674.39,4.00,111.89,1019.47,63.14,0.00,143.33,287.92,146.19,6.74,94.48
Sindhudurg,2015,684.14,540.28,592.34,125.37,702.22,1360.49,294.91,18.28,0.00,192.76,18.98,0.84
Solapur,2005,12385.21,656.61,1.26,118.32,1121.71,22.02,0.00,100.19,256.18,150.90,7.24,89.27
Solapur,2011,9088.76,220.83,1.77,33.77,593.84,2675.60,0.00,73.65,279.14,111.56,45.60,523.83
Solapur,2015,10678.70,2389.15,4.07,112.93,1024.07,62.31,0.00,148.80,0.00,144.98,7.20,96.81
Thane,2005,3442.49,13.90,740.11,0.00,1137.07,587.30,2224.64,212.94,140.42,64.48,11.41,444.93
Thane,2011,3158.73,107.69,535.50,3.04,1233.29,827.84,2158.92,414.47,139.01,126.27,22.08,361.36
Thane,2015,2865.31,460.03,444.54,0.15,1118.54,783.06,2143.92,411.22,0.00,125.41,19.54,408.85
Wardha,2005,4499.52,293.76,0.42,0.00,299.34,693.48,0.00,71.09,93.29,59.77,4.77,186.46
Wardha,2011,4444.48,355.95,0.31,2.47,310.02,796.84,6950.77,85.95,122.00,62.54,6.31,95.60
Wardha,2015,4243.97,543.90,5.00,0.00,250.54,820.45,0.00,85.31,0.00,62.41,5.87,70.21
Washim,2005,3795.54,299.82,2.22,3.14,472.38,281.92,0.00,16.03,93.41,50.43,0.27,64.08
Washim,2011,3820.43,308.15,4.75,11.94,445.90,418.59,0.60,18.11,98.25,47.65,0.35,49.77
Washim,2015,3803.82,304.76,7.27,2.94,326.00,417.63,0.00,17.76,0.00,47.47,0.36,51.31
Yavatmal,2005,8794.42,640.07,0.64,0.00,514.28,2554.53,0.00,65.32,218.37,107.02,38.04,551.19
Yavatmal,2011,9088.76,220.83,1.77,33.77,593.84,2675.60,0.00,73.65,279.14,111.56,45.60,523.83
Yavatmal,2015,8120.97,1160.74,0.77,33.78,593.84,2531.21,0.00,73.49,268.87,110.58,44.86,532.86
